"Guid","ApiVersion","Body","Description","DeveloperName","Encoding","HtmlValue","IsActive","Markup","Name","RelatedEntityType","Subject","TemplateStyle","TemplateType","UiType"
0042ddac-bc78-4a66-83c3-cfcf93ed625c,"#N/A","Hello {!Receiving_User.FirstName},

            We received your request to reset your {!Community_Name} password. We can't reset your password right now. Your account is locked after too many login attempts.

            {!CASE(1,
            IF(VALUE(PASSWORD_LOCK_TIME) > 0, 1, 0), ""Try again in "" + PASSWORD_LOCK_TIME + "" minutes."",
            IF(VALUE(PASSWORD_LOCK_TIME) < 0, 1, 0), ""Contact your "" + Community_Name + "" administrator to unlock your account."",
            """")}

            If you didn't request a password reset or haven't tried to log in to your account recently, contact your {!Community_Name} administrator or reply to this email.

            Thank you,
            {!Community_Name}","Email a user receives when they try to reset their password, but have been locked out because of too many failed login attempts.",CommunityLockoutEmailTemplate,UTF-8,"#N/A",true,"#N/A",Communities: User Lockout Email,"#N/A",You've been locked out of {!Community_Name},none,text,Aloha
0d75d5a9-06f9-4ca7-a5c1-beaf8778c9cd,"#N/A","The submitted Prodly Moover deployment has started. Please find the deployment result here.

Deployment Result Name: {!PDRI__Deployment_Result__c.Name}
Deployment Result ID: {!PDRI__Deployment_Result__c.Id}
Source Connection: {!PDRI__Deployment_Result__c.PDRI__Source_Connection__c}
Target Connection: {!PDRI__Deployment_Result__c.PDRI__Target_Connection__c}","#N/A",Notify_Deployment_Started_Template,ISO-8859-1,"<table height=""400"" width=""550"" cellpadding=""5"" border=""0"" cellspacing=""5"" >
<tr height=""400"" valign=""top"" >
<td style="" color:#000000; font-size:12pt; background-color:#FFFFFF; font-family:arial; bLabel:main; bEditID:r3st1;"" tEditID=""c1r1"" locked=""0"" aEditID=""c1r1"" >
<![CDATA[<font face=""arial"" style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;"">The submitted Prodly Moover deployment has started. Please find the deployment result <a href=""{!PDRI__Deployment_Result__c.Link}"">here</a>.</font><div style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;""><font face=""arial""><br></font></div><div><font face=""arial"" style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;"">Deployment Result Name:&nbsp;</font><font face=""arial"">{!PDRI__Deployment_Result__c.Name}</font></div><div><font face=""arial"" style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;"">Deployment Result ID:&nbsp;</font><font face=""arial"">{!PDRI__Deployment_Result__c.Id}</font></div><div><font face=""arial"">Source Connection:&nbsp;{!PDRI__Deployment_Result__c.PDRI__Source_Connection__c}</font></div><div><font face=""arial"">Target Connection:&nbsp;{!PDRI__Deployment_Result__c.PDRI__Target_Connection__c}</font></div><div><font face=""arial""><br></font></div><div><font face=""arial""><br></font></div>]]></td>
</tr>
</table>",true,"#N/A",Notify Deployment Started Template,"#N/A",Prodly Moover Deployment Started,freeForm,html,Aloha
3392b3b8-12b8-45a8-bab8-4af2a3cbfde2,"#N/A","*** NEW LEAD ASSIGNMENT NOTIFICATION ***  

The following lead has been assigned to you.  
Company:  {!Lead.Company} 
Lead Name:  {!Lead.Name}  

Click on the link to access the lead directly:  {!Lead.Link}",Internal notification to lead owner when new lead is assigned.,LeadsNewassignmentnotificationSAMPLE,ISO-8859-1,"#N/A",true,"#N/A",Leads:  New assignment notification (SAMPLE),"#N/A",New lead assigned to you:  {!Lead.Name} from {!Lead.Company},none,text,Aloha
4916b895-fac1-40a2-b464-042031911cb2,"#N/A","Hi {!Receiving_User.FirstName},

            Your password has been reset for {!Community_Name}. Go to:

            {!Community_Url}

            Thanks,
            {!Organization.Name}",Notification of new password when a user’s password is reset (because they forgot it),CommunityForgotPasswordEmailTemplate,UTF-8,"#N/A",true,"#N/A",Communities: Forgot Password Email,"#N/A",Your new {!Community_Name} password,none,text,Aloha
4f7079ea-56b4-4f47-8ca8-b9565ea3aa30,"#N/A","*** NEW CASE ASSIGNMENT NOTIFICATION ***  

The following case has been assigned to you.  
Company:  {!Account.Name} 
Contact Name:  {!Contact.Name} 
Case #:  {!Case.CaseNumber} 
Subject:  {!Case.Subject} 
Description: {!Case.Description}  

Click on the link to access the case:  {!Case.Link}",Internal notification to case owner when case is assigned.,SUPPORTNewassignmentnotificationSAMPLE,ISO-8859-1,"#N/A",true,"#N/A",SUPPORT:  New assignment notification (SAMPLE),"#N/A",Case # {!Case.CaseNumber}: {!Case.Subject} has been assigned to you.,none,text,Aloha
52cec74e-f89b-47d4-8a94-461cb54caa37,"#N/A","*** CASE ESCALATION ALERT ***  

The following case has been escalated:  
Company:  {!Account.Name} 
Case:  {!Case.CaseNumber}:  {!Case.Subject} 
Owner:  {!Case.OwnerFullName}  

Click on the link to access the case:  {!Case.Link}",Internal notification when case is escalated.,SUPPORTCaseescalationnotificationSAMPLE,ISO-8859-1,"#N/A",true,"#N/A",SUPPORT: Case escalation notification (SAMPLE),"#N/A",Case # {!Case.CaseNumber}: {!Case.Subject} has been escalated.,none,text,Aloha
638bc1d2-d55e-41fd-8de1-c1625788b467,"#N/A","Dear {!Contact.FirstName},

Your {!Organization.Name} Self-Service portal login and password information is below.

Thank you,

{!Organization.Name} Customer Support",Notification of login and password to new Self-Service user,SUPPORTSelfServiceNewUserLoginInformationSAMPLE,ISO-8859-1,"#N/A",true,"#N/A",SUPPORT:  Self-Service New User Login Information (SAMPLE),"#N/A",Your {!Organization.Name} Self-Service username and password,none,text,Aloha
7111c09c-7717-48a5-892d-7c1595a1591c,"#N/A","Dear {!Lead.Name},  

Thank you for your interest in {!Organization.Name}.  We will be contacting you shortly.    

Sincerely,  The Team at {!Organization.Name}",Auto-response when new lead is submitted online.,LeadsWebtoLeademailresponseSAMPLE,ISO-8859-1,"#N/A",true,"#N/A",Leads:  Web-to-Lead email response (SAMPLE),"#N/A",{!Organization.Name}:  Thank you for your inquiry,none,text,Aloha
858e569d-59fb-4456-b684-9b504e340d96,"#N/A","The submitted Prodly Moover deployment has completed with failures. Please find the deployment result here.

Deployment Result Name: {!PDRI__Deployment_Result__c.Name}
Deployment Result ID: {!PDRI__Deployment_Result__c.Id}
Deployment Result: {!PDRI__Deployment_Result__c.PDRI__Result__c}
Deployment Status: {!PDRI__Deployment_Result__c.PDRI__Status__c}
Source Connection: {!PDRI__Deployment_Result__c.PDRI__Source_Connection__c}
Target Connection: {!PDRI__Deployment_Result__c.PDRI__Target_Connection__c}","#N/A",Notify_Deployment_Failed_Template,ISO-8859-1,"<table height=""400"" width=""550"" cellpadding=""5"" border=""0"" cellspacing=""5"" >
<tr height=""400"" valign=""top"" >
<td style="" color:#000000; font-size:12pt; background-color:#FFFFFF; font-family:arial; bLabel:main; bEditID:r3st1;"" tEditID=""c1r1"" locked=""0"" aEditID=""c1r1"" >
<![CDATA[<font face=""arial""><span style=""font-size: 12pt;"">The submitted Prodly Moover deployment has completed with failures</span><span style=""font-size: 12pt;"">. Please find the&nbsp;deployment result </span><a href=""{!PDRI__Deployment_Result__c.Link}"" style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;"">here</a><span style=""font-size: 12pt;"">.</span></font><div style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;""><font face=""arial""><br></font></div><div style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;""><font face=""arial"" style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;"">Deployment Result Name:&nbsp;</font><font face=""arial"">{!PDRI__Deployment_Result__c.Name}</font></div><div style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;""><font face=""arial"" style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;"">Deployment Result ID:&nbsp;</font><font face=""arial"">{!PDRI__Deployment_Result__c.Id}</font></div><div><font face=""arial"" style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;"">Deployment Result:&nbsp;</font><font face=""arial"">{!PDRI__Deployment_Result__c.PDRI__Result__c}</font></div><div><font face=""arial"" style=""font-family: arial; font-size: 12pt;"">Deployment Status:&nbsp;</font><font face=""arial"">{!PDRI__Deployment_Result__c.PDRI__Status__c}</font></div><div style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;""><font face=""arial"">Source Connection:&nbsp;{!PDRI__Deployment_Result__c.PDRI__Source_Connection__c}</font></div><div style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;""><font face=""arial"">Target Connection:&nbsp;{!PDRI__Deployment_Result__c.PDRI__Target_Connection__c}</font></div><div style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;""><font face=""arial""><br></font></div><div style=""color: rgb(0, 0, 0); font-family: arial; font-size: 12pt;""><font face=""arial""><br></font></div>]]></td>
</tr>
</table>",true,"#N/A",Notify Deployment Failed Template,"#N/A",Prodly Moover Deployment Failed,freeForm,html,Aloha
96212c89-99f9-4bb6-9c8d-8ef45760a491,47.0,"#N/A",CC Order Confirmation page,CC_Order_Confirm,ISO-8859-1,"#N/A",true,"<messaging:emailTemplate renderUsingSystemContextWithoutSharing=""true"" subject=""Order Confirmation"" recipientType=""Contact"" relatedToType=""ccrz__E_Order__c"">
<messaging:plainTextEmailBody >
Congratulations!
This is the plain text version<br />
include component here
</messaging:plainTextEmailBody>
<messaging:htmlEmailBody >
<html>
<style type=""text/css"">
body {
    background-color:#2F2F2F;
}

table {
    background-color: #FFFFFF;
    border: 2px solid;
    border-radius: 10px;
    webkit-border-radius: 10px;
    moz-border-radius: 10px;
}
        
h {
    color: #0d6bab;
    font-family: ProximaNovaBold, Arial, Helvetica, sans-serif;
}
          
h2 {
    color: #0d6bab;
    font-family: ProximaNovaBold, Arial, Helvetica, sans-serif;
}

h3 {
    color: #0d6bab;
    width:450px;
    word-wrap: break-word;
    font-family: ProximaNovaBold, Arial, Helvetica, sans-serif;
}

.emailFooter-Div{
    color: #0d6bab;
    font-family: ProximaNovaBold, Arial, Helvetica, sans-serif;
}

.orderItemsProductNameHeading-TD .orderItemsProductName-TD {
    width:50%;
}

.orderItemsProductPriceHeading-TD .orderItemsProductPricing-TD {
    width:110px;
}

.orderItemsProductQty-TD .orderItemsProductQtyHeading-TD {
    width:10%;
}

.totalsSbtAmt-TD {
    text-align:right;
    width:20%;
}

.orderItemsProductTotalHeading-TD .orderItemsProductSubAmt-TD .totalsSbtLbl-TD .totalsShipLbl-TD .totalsShipAmt-TD .totalsTaxLbl-TD .totalsTaxAmt-TD .totalsGTotalLbl-TD .totalsGTotalAmt-TD{
    width:20%;
}

.orderItemsTieredPricingApplied {
    color: #808080;
}

.spacerTD {
	width:60%;
}
</style>

<head>
</head>
<body>

<c:cc_OrderSummaryNew porderID=""{!relatedTo.ID}"" pOrderComplete=""true"" />
</body>
</html>
</messaging:htmlEmailBody>
</messaging:emailTemplate>",CC Order Confirm,"#N/A","#N/A",none,visualforce,Aloha
